k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
3279,4,1,aggregate,2.45078018398929,2.45078018398929,2.45078018398929,0,1,80.51670154257307,0.1256000000000004,-21.154018914239693
3279,4,1,matrix,2.451429130212758,2.451429130212758,2.451429130212758,0,1,80.51670154256578,0.125599999999999,-21.15321293709048
3421,4,1,aggregate,9.147736536174804,9.147736536174804,9.147736536174804,0,1,80.07514989975591,0.0655666666666664,-13.458749159458904
3421,4,1,matrix,9.14786003473265,9.14786003473265,9.14786003473265,0,1,80.07514989982602,0.0655666666666667,-13.458594931040832
3425,1,4,aggregate,71.89760872573197,62.62954647994496,74.98719017281206,0,4,87.64024780318411,0.4173939605379468,71.46196781989133
3425,1,4,matrix,71.8977569740529,62.62666349715653,74.99133959005442,0,4,87.6392346048117,0.4173939605379471,71.46280111755898
3496,3,2,aggregate,17.047294736660206,0.7593216162361346,33.33526785708428,1,2,99.9999992493695,5.138833333333301,8.190413807792401
3496,3,2,matrix,13.882447193332773,4.246517243914233e-08,27.76489434420037,1,2,100.00000040689352,5.138833333333304,21.43128117257924
3710,1,4,aggregate,74.04534015693336,65.34187692845838,76.94655535156,0,4,88.68903016348786,0.2634333333333334,73.67530782489703
3710,1,4,matrix,74.0453079635629,65.34260201434192,76.94696609479354,0,4,88.68931078556024,0.2634333333333334,73.67507477624972
3760,4,1,aggregate,3.896172166206872,3.896172166206872,3.896172166206872,0,1,84.1347376572462,0.5260333333333336,-14.226097935085308
3760,4,1,matrix,3.903276447408152,3.903276447408152,3.903276447408152,0,1,84.13473765722594,0.5260333333333337,-14.21765400172799
3776,2,3,aggregate,69.24066119128295,9.480605342223782,100.0,1,3,99.99999640508914,2.9823999999999997,28.591752921439884
3776,2,3,matrix,65.53986312775388,12.939916864017093,99.99999999985523,1,3,100.00000176089856,2.9824,90.43979625206352
3801,1,4,aggregate,79.03896970294029,71.43396295166391,81.57400589562633,0,4,90.67717802883782,1.7927,78.77835865432957
3801,1,4,matrix,79.0324229992479,71.61844368157007,81.63447824179093,0,4,90.7026971230793,1.7927,78.75738940737713
3851,2,3,aggregate,64.12592142014773,44.92383313697064,100.0,1,3,99.999999604445,6.911766666666669,53.1292701911632
3851,2,3,matrix,61.60961766157186,1.6500542478793247e-10,100.0,2,3,100.00000104191513,6.911766666666677,80.01572899486422
3971,3,2,aggregate,42.43143199717457,7.648096661183579,77.21476733316555,0,2,99.99999968653611,13.074692592592644,12.416331265685171
3971,3,2,matrix,37.15226364443299,1.8195107722398438e-10,74.30452728868403,1,2,100.0000005831524,13.074692592592594,69.21155504936209
3992,2,3,aggregate,58.83297154566986,52.40826784900779,62.04543209959101,0,3,89.6449040690342,2.191299999999993,58.46220569709503
3992,2,3,matrix,58.56783625777122,55.84192408258758,63.12764206619539,0,3,90.38360224295695,2.191300000000006,58.54487799004751
3994,4,1,aggregate,0.3686353850479282,0.3686353850479282,0.3686353850479282,1,1,80.57104730494581,2.917399999999996,-23.65653413671849
3994,4,1,matrix,0.3660206249835238,0.3660206249835238,0.3660206249835238,1,1,80.57104730511293,2.917400000006225,-23.65977942166636
4020,4,1,aggregate,0.0,0.0,0.0,1,1,81.17635401576842,6.2269655172413945,-23.18858270054276
4020,4,1,matrix,0.0,0.0,0.0,1,1,81.17635401584076,6.2269655172413785,-23.1885827004327
4089,4,1,aggregate,0.0,0.0,0.0,1,1,80.85675585138607,0.2132000000000002,-23.67550360763797
4089,4,1,matrix,0.0,0.0,0.0,1,1,80.85675585140541,0.2132000000000002,-23.67550360760838
4092,4,1,aggregate,0.0,0.0,0.0,1,1,80.87889291951669,0.1581666666666668,-23.64165283457936
4092,4,1,matrix,0.0,0.0,0.0,1,1,80.87889291953852,0.1581666666666668,-23.641652834545976
4111,1,4,aggregate,72.40120478061772,64.68563729870675,85.71257115400505,0,4,99.999781911021,1.6717,68.36125629068964
4111,1,4,matrix,65.38431246917904,25.54246906701867,100.0,2,4,98.37161799937746,1.6716999999998745,99.9999582557854
4116,4,1,aggregate,0.0,0.0,0.0,1,1,80.62323986028905,3.894233333333334,-24.03371555557517
4116,4,1,matrix,0.0,0.0,0.0,1,1,80.62323986033385,3.894233333333335,-24.03371555550624
4167,3,2,aggregate,3.2861302491962725e-10,2.824445645175878e-10,3.747814853216668e-10,2,2,99.99999999791036,1.8895666666666084,3.5329687574412206e-10
4167,3,2,matrix,3.2888069506811765e-10,2.826379314033826e-10,3.751234587328529e-10,2,2,99.99999979936098,1.8895666666666824,3.5360427264799415e-10
4189,4,1,aggregate,0.0,0.0,0.0,1,1,81.30495871257027,5.515800000000006,-22.99372828356096
4189,4,1,matrix,0.0,0.0,0.0,1,1,81.30495871257767,5.515799999999977,-22.993728283549103
4256,4,1,aggregate,2.88107787735901,2.88107787735901,2.88107787735901,0,1,82.84141608424127,0.4399666666666675,-17.234744060725713
4256,4,1,matrix,2.8863149190136625,2.8863149190136625,2.8863149190136625,0,1,82.84141608424086,0.4399666666666676,-17.22842229330343
4351,2,3,aggregate,45.866338545362126,45.04806158657127,47.50266667614751,0,3,99.99999999999774,0.4478666666666565,45.613623806380666
4351,2,3,matrix,45.86633854537046,35.006421916333025,51.29869130530231,0,3,100.00000000000014,0.4478666666666672,49.6630980504676
4354,3,2,aggregate,18.614814371306714,1.0315115158327708,36.19811722678066,0,2,100.00000000000011,3.9145933333333383,6.55244963104915
4354,3,2,matrix,18.614814371326226,7.042230975402958e-07,37.22962803842936,1,2,100.00000000000006,3.914593333333335,31.384811771187508
4377,2,3,aggregate,50.607726691891294,50.60764740319792,50.60781784329447,0,3,100.0000000000001,0.5972333333333338,50.607726691748304
4377,2,3,matrix,50.6077266918887,50.60499514379293,50.61010286703619,0,3,99.9999999999999,0.5972333333333325,50.607727014298
4382,2,3,aggregate,48.16038650562604,35.73697210117495,59.70194837727202,0,3,99.99999999999932,1.88843333333332,43.98487835402564
4382,2,3,matrix,48.16038650562389,14.570724219429112,99.99991990606894,1,3,99.99999999999936,1.8884333333333216,99.99857152004054
4398,1,4,aggregate,70.51331662629704,62.83644979242597,73.07232964599558,0,4,89.49391862207848,0.4363333333333324,70.212955188057
4398,1,4,matrix,70.51345067998842,62.833157971985344,73.0758309500221,0,4,89.492946258044,0.4363333333333384,70.21371856593021
4429,4,1,aggregate,0.9941874490623904,0.9941874490623904,0.9941874490623904,1,1,60.15206187440809,0.6546666666678442,-64.59255005727086
4429,4,1,matrix,0.9969094597797872,0.9969094597797872,0.9969094597797872,1,1,60.15206187441084,0.654666666666667,-64.58802484098541
4480,3,2,aggregate,26.35808284476547,2.7237706509460278,49.99239503858491,0,2,99.99996834741192,4.359813333333363,8.003481095486197
4480,3,2,matrix,30.398386800314853,1.8685926037441767e-10,60.79677360044285,1,2,97.64009770476272,4.359813333333291,46.91030321028952
4524,1,4,aggregate,72.50418721829762,65.10870056416131,74.97248448631785,0,4,90.13650255075082,1.0995666666666668,72.23454903415924
